우편번호,설치기관주소,실제위치,설치기관명,경도,위도,GU_ID,GU_NAME,,,,,
4317,서울특별시 용산구 효창원로 146-12,지하1층 수영장,효창종합사회복지관,126.9626091,37.54111536,3,용산구,,,,,
4763,"서울특별시 성동구 왕십리로 222-1, 한양대학교병원 (사근동)",본관1층 로비,한양대학교병원,127.0435742,37.55965517,4,성동구,,,,,
4763,"서울특별시 성동구 왕십리로 222-1, 한양대학교병원 (사근동)",동관1층(류마티스병원),한양대학교병원,127.0448872,37.559943,4,성동구,,,,,
4763,"서울특별시 성동구 왕십리로 222-1, 한양대학교병원 (사근동)",국제협력병원(내시경실),한양대학교병원,127.0433874,37.55964623,4,성동구,,,,,
4763,"서울특별시 성동구 왕십리로 222-1, 한양대학교병원 (사근동)",서관5층(내분비대사내과),한양대학교병원,127.0433817,37.55957415,4,성동구,,,,,
4775,"서울특별시 성동구 성덕정9가길 13, 성원중학교 (성수동2가)",3층 보건실,성원중학교,127.0513833,37.53945164,4,성동구,,,,,
4761,"서울특별시 성동구 마조로 42, 한양대부속중고등학교 (사근동)",신관정보관2층 보건실 앞,한양대학교사범대학부속고등학교,127.042324,37.56191884,4,성동구,,,,,
8209,"서울특별시 구로구 경인로 662  (신도림동, 디큐브시티)",지하1층 안전관리실 옆,"현대백화점,디큐브시티",126.888213,37.50812307,17,구로구,,,,,
4963,서울특별시 광진구 워커힐로 177  (광장동),그랜드워커힐호텔 본관 B2 헬스장 내,sk네트웍스(주)워커힐,127.1117068,37.55863008,5,광진구,,,,,
4963,서울특별시 광진구 워커힐로 177  (광장동),더글라스 건물 1층 로비,sk네트웍스(주)워커힐,127.1117068,37.55862873,5,광진구,,,,,
4963,서울특별시 광진구 워커힐로 177  (광장동),그랜드워커힐 호텔 지하2층 건강관리실,sk네트웍스(주)워커힐,127.1117068,37.55862873,5,광진구,,,,,
5094,"서울특별시 광진구 뚝섬로36가길 15, 삼성아파트 (자양동)",101동 3호라인 승강기 앞,자양동삼성아파트,127.0715583,37.53195563,5,광진구,,,,,
5094,"서울특별시 광진구 뚝섬로36가길 15, 삼성아파트 (자양동)",102동3~4라인 승강기 앞,자양동삼성아파트,127.0715574,37.53195563,5,광진구,,,,,
5094,"서울특별시 광진구 뚝섬로36가길 15, 삼성아파트 (자양동)",102동7~11라인 승강기 앞,자양동삼성아파트,127.0715583,37.53195563,5,광진구,,,,,
5094,"서울특별시 광진구 뚝섬로36가길 15, 삼성아파트 (자양동)",103동5~9라인 승강기 옆,자양동삼성아파트,127.0715574,37.53195563,5,광진구,,,,,
5094,"서울특별시 광진구 뚝섬로36가길 15, 삼성아파트 (자양동)",104동입구,자양동삼성아파트,127.0715574,37.53195563,5,광진구,,,,,
4383,서울특별시 용산구 서빙고로 137 국립박물관문화재단,국립중앙박물관 MUSEUM SHOP 입구,국립박물관문화재단,126.9822349,37.52303803,3,용산구,,,,,
6650,"서울특별시 서초구 서초중앙로 83, 서운빌딩 6층 (서초동)",특수구급차-70로 8767 내부,엠티케어응급환자이송단,126.9899108,37.48757033,22,서초구,,,,,
6650,"서울특별시 서초구 서초중앙로 83, 서운빌딩 6층 (서초동)",특수구급차-70두 7923 내부,엠티케어응급환자이송단,126.9899108,37.48757033,22,서초구,,,,,
6650,"서울특별시 서초구 서초중앙로 83, 서운빌딩 6층 (서초동)",특수구급차-75보 9137 내부,엠티케어응급환자이송단,127.014211,37.48913189,22,서초구,,,,,
6650,"서울특별시 서초구 서초중앙로 83, 서운빌딩 6층 (서초동)",특수구급차-71고 6475 내부,엠티케어응급환자이송단,127.014211,37.48913189,22,서초구,,,,,
6611,"서울특별시 서초구 강남대로 465, 교보생명보험(주) 서초사옥 (서초동)",1층로비,교보타워,127.0241095,37.50375605,22,서초구,,,,,
6521,"서울특별시 서초구 신반포로33길 15 (잠원동, 동아아파트)",101동앞,잠원동아아파트,127.0095233,37.5090446,22,서초구,,,,,
6521,"서울특별시 서초구 신반포로33길 15 (잠원동, 동아아파트)",102동앞,잠원동아아파트,127.0095233,37.5090446,22,서초구,,,,,
6521,"서울특별시 서초구 신반포로33길 15 (잠원동, 동아아파트)",103동앞,잠원동아아파트,127.0095233,37.5090446,22,서초구,,,,,
6521,"서울특별시 서초구 신반포로33길 15 (잠원동, 동아아파트)",104동앞,잠원동아아파트,127.0095233,37.5090446,22,서초구,,,,,
6521,"서울특별시 서초구 신반포로33길 15 (잠원동, 동아아파트)",105동앞,잠원동아아파트,127.0095233,37.5090446,22,서초구,,,,,
6521,"서울특별시 서초구 신반포로33길 15 (잠원동, 동아아파트)",106동앞,잠원동아아파트,127.0095233,37.5090446,22,서초구,,,,,
6521,"서울특별시 서초구 신반포로33길 15 (잠원동, 동아아파트)",107동앞,잠원동아아파트,127.0095233,37.5090446,22,서초구,,,,,
6521,"서울특별시 서초구 신반포로33길 15 (잠원동, 동아아파트)",108동앞,잠원동아아파트,127.0095233,37.5090446,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 3층 (서초동)",안내데스크(남측),삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 26층 (서초동)",A파트,삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 PH2층 (서초동)",전기실 내부,삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 5층 (서초동)",코페레이트 사무실,삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩  27층 (서초동)",A파트,삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 6층 (서초동)",안내데스크(서측),삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 5층 (서초동)",다목적홀 입구측,삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 1층 (서초동)",정문데스크,삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 42층 (서초동)",42층 A파트동측,삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 19층 (서초동)",승강기홀입구(동측),삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩  19층 (서초동)",A파트,삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
6620,"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 28층 (서초동)",A파트,삼성전자서초사옥,127.0269145,37.49663336,22,서초구,,,,,
